OilRate,WaterRate,GasRate,GOR,TBGTemp,TBGPress,DiffPress,Temperature,Pressure
3344,404,3034,907,209,283,338,87,291
3347,399,3036,907,209,283,72,125,287
3347,396,3041,908,209,282,61,125,281
3269,395,3028,926,208,280,91,126,283
3331,396,3163,949,208,284,43,120,285
3333,400,3162,949,208,283,55,122,279
3367,401,3179,944,208,286,75,122,286
3358,337,3176,946,208,287,90,67,279
3311,331,3177,959,208,285,90,64,279
3314,388,3177,959,208,285,90,62,280
3314,393,3169,956,208,290,92,63,278
3311,401,3177,960,208,289,91,63,281
3694,0,2547,690,208,293,90,63,282
3696,0,2546,689,208,296,55,68,278
3688,0,2588,702,208,292,2,74,273
3686,0,2635,715,208,293,2,74,235
3685,0,2633,714,208,293,407,174,240
2923,0,1987,680,208,292,17,78,231
3676,0,2400,653,207,298,544,63,219
3680,0,2769,752,207,290,12,70,229
3681,0,2368,643,207,296,45,66,229
3663,0,2590,707,207,283,352,102,238
3665,0,2199,600,207,287,124,134,237
3669,0,2507,683,207,299,2133,132,258
3671,0,2600,708,207,286,119,65,262
3671,0,2662,725,207,287,67,64,244
3673,0,2646,720,207,298,102,64,245
3687,0,2367,642,207,287,103,62,251
3670,0,2697,735,207,300,128,67,259
3670,0,2712,739,207,290,2,74,257
3675,0,2680,729,207,295,29,116,258
3650,0,2514,689,207,293,76,119,297
3639,0,2578,708,207,285,378,145,303
3568,0,2493,699,207,280,137,148,297
3640,0,2540,698,207,274,486,147,303
3602,0,2528,702,207,292,172,148,291
3610,0,2469,684,207,286,95,143,291
3579,0,2446,684,207,287,2,74,280
3562,0,2554,717,209,291,1,80,276
3601,0,2514,698,208,286,141,68,271
3550,0,2502,705,208,291,92,65,278
3499,0,2464,704,209,286,90,65,280
3505,0,2467,704,209,288,87,64,289
3612,0,2328,644,209,289,88,64,284
3626,0,2357,650,209,282,1576,141,302
3622,0,2352,649,209,285,567,141,292
3620,0,2339,646,209,291,51,117,284
3613,0,2333,646,209,290,138,70,287
3620,0,2330,644,210,288,41,162,296
3620,0,2333,645,210,292,9,115,285
3621,0,2365,653,209,291,7,70,285
3620,0,2385,659,208,289,6,128,282
3611,0,2378,658,209,288,120,71,282
2073,0,1455,702,209,291,87,65,286
2187,0,1454,665,78,177,2,74,247
3610,0,2321,643,205,288,2,75,286
3614,0,2340,648,206,287,2,75,283
3617,0,2345,648,207,283,95,68,293
3612,0,2406,666,207,284,108,71,290
3610,0,2418,670,207,291,115,70,255
2663,0,1805,678,207,288,114,71,249
